SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
ECOSIA,coxreels.com,1125-4-450-AB,+coxreels - Huge Selection Of Products,"COXREELS® 1125 Series is the industry preferred motor rewind hose reel and a tried-and-true workhorse for durability & reliability. Featuring a sturdy one piece all welded frame base, low profile riser, and open drum slot design provides a non-crimping, ... 1125-4-450-AB: 1/2"" 7/8"" 450' No: 3000: 60: 35""(W) 19.25""(H) 17.63""(L) 27.44""(M) 10""(N) 29.38""(X) 16""(Y) Request CAD File: 1125-4-450-E: 1/2"" 7/8"" 450' No: 3000: 65: 37.75""(W) 19.25""(H) 17.63""(L) 27.44""(M) 10""(N) 29.38""(X) 16""(Y) Request ...",https://www.bing.com/aclick?ld=e8D9NCNK6ZEoz2AYaPxnpvNzVUCUx1lwPPYSWV4_y8-wogytGCa2hUXEIbghinvvUvAFyDavgwkU6in66fN00-uwilmMr5aV3gsIq9QE7dhM9oqtbz_4c-qv1uc4Ezc610BFtcz65pPEW-nLMAsXrCi3Jq4-hp6_RfzXwdPtPNdec5JrfUMd65AB4RNE_x4zsR0Srwvw&u=aHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmluJTJmcyUyZiUzZmllJTNkVVRGOCUyNmtleXdvcmRzJTNkY294cmVlbHMlMjZpbmRleCUzZGFwcyUyNnRhZyUzZG1zbmRlc2tzdGRpbi0yMSUyNnJlZiUzZHBkX3NsXzV5NnN0MHZkZGhfYiUyNmFkZ3JwaWQlM2QxMzEzOTE4MDAxNDIyNzA1JTI2aHZhZGlkJTNkODIxMjAxNDIzMTUwODglMjZodm5ldHclM2RzJTI2aHZxbXQlM2RwJTI2aHZibXQlM2RiYiUyNmh2ZGV2JTNkYyUyNmh2bG9jaW50JTNkJTI2aHZsb2NwaHklM2QxNTUzNzYlMjZodnRhcmdpZCUzZGt3ZC04MjEyMDc1MjQ4MTkxOCUzYWxvYy05MCUyNmh5ZGFkY3IlM2QxNTQxMV8yMzM4Njcw&rlid=fd774e5c3855113445e22b7bed8b62db,1,False
ECOSIA,coxreels.com,1125-4-450-AB,1125 Series | Coxreels Motorized Hose Reels,Solid steel direct hand crank with smooth round handle. Also available in motorized options. Signature Features Professional grade heavy duty steel construction. Rolled edges & ribbed discs provide strength & safety. Leading 2-year manufacturer's limited warranty. Made in the U.S.A. - Sold & Supported Worldwide.,https://www.coxreels.com/1125-series_8_15.html,2,False
ECOSIA,coxreels.com,1125-4-450-AB,1125 Series | Coxreels,1125 SERiES:: REEL SPECiFiCatiOnS •External fluid path with machined from solid brass 90° full-flow NPT swivel inlet(Nickel plated steel swivel on 1” models) •Swivel Seals: NITRILE(AFLAS on 1” models) •External fluid path with electroless nickel plated steel 90° full-flow NPT swivel inlet(On high pressure HP prefix models),https://www.coxreels.com/1125-series_8_13.html,3,False
ECOSIA,coxreels.com,1125-4-450-AB,1125 SERiES - Coxreels,"COXREELS ® 1125 Series (high pressure) hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: HP1125-4-200.",http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,4,False
ECOSIA,coxreels.com,1125-4-450-AB,HP1125 Series | Coxreels High Pressure Hand Crank Hose Reels,"Features. COXREELS® HP1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: HP1125-4-200-E.",https://www.coxreels.com/hp1125-series_8_16.html,5,False
ECOSIA,coxreels.com,1125-4-450-AB,HP1125 Series | Coxreels High Pressure Motorized Hose Reels,"Coxreels® 1125 Series motorized hose reels meet industry professional’s demands. Features such as, a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap, making it the industry’s preferred design. Click to view Motor Options Call us TODAY at 727-835-0673 or",https://www.coxreels.com/hp1125-series_8_17.html,6,False
ECOSIA,coxreels.com,1125-4-450-AB,Coxreels 1125 Series | Coxreels Hose Reels,"COXREELS 1125-4-450-AB - Compressed Air #6 Gast Motor Rewind Hose Reel: 1/2"" I.D., 450' hose capacity, less hose, 3000 PSI. Coxreels are now BTO (Built to Order) and have a 2-3 week lead time. WARNING: This product can expose you to chemicals including Nickel, which are known to the State of California to cause cancer, and chemicals including Chromium, which are known to the State of California to cause birth defects or other reproductive harm. For more information go to www.P65Warnings.ca.gov",https://www.coxreelsales.com/motorized-1125Series.php,7,False
ECOSIA,coxreels.com,1125-4-450-AB,Coxreels 1125-4-450-AB Compressed Air #6 Gast Motor Rewind Hose Reel,"Product type: Hose Reel, Part #: 1125-4-450-AB, Pack Qty: 1 each",https://www.royalsupply.com/store/pc/COXREELS-1125-4-450-AB-Compressed-Air-6-Gast-Motor-Rewind-Hose-Reel-p89755.htm,8,False
ECOSIA,coxreels.com,1125-4-450-AB,"Coxreels 1125-4-450-AB Hose Reel, 700 ft Capacity, Compressed Air Drive ...","Coxreels HP1125-4-450-AB COXREELS HP1125-4-450-AB Motor Hose Reel 1/2inx450ft, No.6 5000PSI Add to BOM USD1,092.210 Zoro Inventory History Unavailable Inventory history Jump to: Price & StockDescriptions Price & Stock Distributor links are sponsored CoxreelsHP1125-4-450-ABpricing and available inventory. Authorized Distributors",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-450-Ft-Hose-Not-Included-700-Ft-Capacity-Compressed-Air-Drive-1125-4-450-AB/coxreels_1125_4_450_ab/,9,False
ECOSIA,coxreels.com,1125-6-50-EA,1125 Series | Coxreels,"COXREELS® 1125 Series hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: 1125-4-200.",https://www.coxreels.com/1125-series_8_13.html,1,False
ECOSIA,coxreels.com,1125-6-50-EA,1125 Series | Coxreels Motorized Hose Reels,"COXREELS ® 1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap.",https://www.coxreels.com/1125-series_8_15.html,2,False
ECOSIA,coxreels.com,1125-6-50-EA,1125 SERiES - Coxreels,1125 SERiES:: REEL SPECiFiCatiOnS •External fluid path with machined from solid brass 90° full-flow NPT swivel inlet(Nickel plated steel swivel on 1” models) •Swivel Seals: NITRILE(AFLAS on 1” models) •External fluid path with electroless nickel plated steel 90° full-flow NPT swivel inlet(On high pressure HP prefix models),http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,3,False
ECOSIA,coxreels.com,1125-6-50-EA,COXREELS® 1125-6-50-EA | Turtle & Hughes,115VAC Electric Explosion Proof Motor Rewind Hose Reel:1,https://www.turtle.com/3047620/Product/coxreels-1125-6-50-ea,4,False
